Total duration (ms),Start date,Start station,End date,End station,Bike number,Subscription Type
400388,01/01/2015 02:16,Lincoln Park / 13th & East Capitol St NE ,01/01/2015 02:22,Potomac & Pennsylvania Ave SE,W00780,Registered
56360,01/01/2015 02:16,Gallaudet / 8th St & Florida Ave NE,01/01/2015 02:17,Gallaudet / 8th St & Florida Ave NE,W20493,Registered
241234,01/01/2015 02:17,7th & R St NW / Shaw Library,01/01/2015 02:21,Convention Center / 7th & M St NW,W21896,Registered
549801,01/01/2015 02:17,Bladensburg Rd & Benning Rd NE,01/01/2015 02:26,M St & Delaware Ave NE,W01093,Registered
38122,01/01/2015 02:17,Gallaudet / 8th St & Florida Ave NE,01/01/2015 02:18,Gallaudet / 8th St & Florida Ave NE,W01261,Registered
205993,01/01/2015 02:18,20th St & Florida Ave NW,01/01/2015 02:21,20th & O St NW / Dupont South,W00968,Registered
308404,01/01/2015 02:18,1st & M St NE,01/01/2015 02:23,6th & H St NE,W00418,Registered
326970,01/01/2015 02:18,14th & Harvard St NW,01/01/2015 02:24,14th & V St NW,W20090,Registered
809443,01/01/2015 02:18,12th & L St NW,01/01/2015 02:32,3rd & H St NE,W01097,Registered
345845,01/01/2015 02:18,Columbia Rd & Georgia Ave NW,01/01/2015 02:24,3rd & Elm St NW,W20613,Registered
468390,01/01/2015 02:20,12th & U St NW,01/01/2015 02:28,1st & Rhode Island Ave NW,W21815,Registered
434550,01/01/2015 02:22,11th & H St NE,01/01/2015 02:29,4th & East Capitol St NE,W21019,Registered
121222,01/01/2015 02:22,Crystal City Metro / 18th & Bell St,01/01/2015 02:24,23rd & Eads St,W00677,Registered
525750,01/01/2015 02:23,New Hampshire Ave & 24th St NW,01/01/2015 02:32,New Hampshire Ave & T St NW,W20468,Registered
316465,01/01/2015 02:24,Eastern Market Metro / Pennsylvania Ave & 7th St SE,01/01/2015 02:29,8th & F St NE,W01315,Registered
344997,01/01/2015 02:24,8th & D St NW,01/01/2015 02:30,Convention Center / 7th & M St NW,W21592,Registered
759167,01/01/2015 02:25,Wilson Blvd & Franklin Rd,01/01/2015 02:38,Pershing & N George Mason Dr,W00176,Casual
415945,01/01/2015 02:26,New Jersey Ave & R St NW,01/01/2015 02:33,5th & K St NW,W21664,Registered
980991,01/01/2015 02:27,Georgia & New Hampshire Ave NW,01/01/2015 02:43,3rd & H St NW,W01041,Registered
399499,01/01/2015 02:27,Massachusetts Ave & Dupont Circle NW,01/01/2015 02:34,14th & R St NW,W20807,Registered
286821,01/01/2015 02:27,Wilson Blvd & N Edgewood St,01/01/2015 02:32,Lee Hwy & N Cleveland St,W21406,Registered
2354486,01/01/2015 02:28,N Rhodes & 16th St N,01/01/2015 03:07,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,W20098,Registered
369591,01/01/2015 02:29,3rd & H St NW,01/01/2015 02:35,3rd & H St NE,W21898,Registered
492200,01/01/2015 02:30,14th St & New York Ave NW,01/01/2015 02:38,5th & K St NW,W00854,Registered
506376,01/01/2015 02:30,Braddock Rd Metro,01/01/2015 02:38,Mount Vernon Ave & Kennedy St,W21643,Registered
